Input_English,Target_Khmer,Predicted_Khmer,Word_Acc,Char_Acc,F1,CER
kroyov,ក្រយៅ,ករវ,0,0.4,0.5,0.6
reae,រ៉ែៗ,រែ,0,0.5,0.6666666666666666,0.5
pyeathi,ព្យាធិ,ពិតី,0,0.16666666666666663,0.4,0.8333333333333334
bampom,បំពម,បំបំបំបំបំបំបំបំបំបំបំបំ,0,0.08333333333333337,0.14285714285714285,5.5
brayur,ប្រយូរ,ប្រយ,0,0.6666666666666667,0.8,0.3333333333333333
brosob,ប្រសប់,ប្រប្រប្រប្រប្រប្រប្រប្រ,0,0.16666666666666663,0.26666666666666666,3.3333333333333335
india,ឥណ្ឌា,ឥណ្ដៃ,0,0.6,0.6,0.4
komarey,កុមារី,ក្រមាយ,0,0.33333333333333337,0.6666666666666666,0.6666666666666666
thmea,ធ្មា,ហេត,0,0.0,0.0,1.0
banhcheabapeakyar,បញ្ជាប់ពាក្យ,ប្រាប្រាប្រាប្រាប្រាប្រា,0,0.25,0.3333333333333333,1.5
brophab,ប្រផាប់,ប៉ប៉ប៉ប៉ប៉ប៉ប៉ប៉ប៉ប៉ប៉ប៉,0,0.08333333333333337,0.12903225806451613,3.142857142857143
komareanukrus,កុមារានុគ្រោះ,ស្រារារារារារារារារារារា,0,0.16666666666666663,0.2702702702702703,1.5384615384615385
rotna,រត្នា,ត,0,0.19999999999999996,0.33333333333333337,0.8
meatekanukrom,មាតិកានុក្រម,មាកមាកមាកមាកមាកមាកមាកមាក,0,0.25,0.3333333333333333,1.5
sromonosokde,ស្រមណសក្ដិ,ស្ដុស្ដុស្ដុស្ដុស្ដុស្ដុ,0,0.20833333333333337,0.29411764705882354,1.9
uboyouk,ឧបយោគ,ឧបួយោគោគោគោគោគោគោគោគោគោគ,0,0.20833333333333337,0.3448275862068966,3.8
duol,ដួល,ដួល,1,1.0,1.0,0.0
dieb,ដៀប,ប្ដី,0,0.0,0.5714285714285715,1.3333333333333333
